22656,487
4639,235
4653,230
157882,211
179736,202
39677,197
6309,192
49153,176
11236,172
117700,170
29407,162
84201,152
12597,151
23354,147
9021,146
63051,146
1288,139
247243,138
34537,138
2648,138
51816,132
31671,129
48523,129
130015,125
65387,125
39321,123
5445,123
18393,118
14860,118
88656,116
147601,115
54964,113
893,108
260127,107
143378,106
292291,106
104015,105
68183,104
149080,104
44330,102
376947,101
3834,100
48465,97
34397,95
106224,95
95944,95
245549,94
19875,93
187606,93
13302,93
3043,92
15055,92
401025,91
95810,90
165673,89
6068,89
41543,88
61974,88
116,87
243782,87
114066,87
91,86
23283,85
63235,85
13249,84
69803,83
4883,83
496949,83
203907,83
41021,83
9951,83
115145,82
3153,82
218196,82
17034,81
2147,81
5056,81
157247,81
44084,81
16241,81
249991,80
20654,80
22996,80
93468,80
4872,79
34509,78
70604,78
5441,78
36590,78
155196,78
572,77
429377,77
156458,77
359862,77
164299,76
1968,76
18936,76
75500,76
43907,76
276101,75
100297,75
413225,75
198729,75
379235,74
24874,74
99834,73
172861,73
383759,73
325418,73
184046,72
286802,72
47281,72
342235,72
707381,71
40521,71
146857,71
130758,71
508127,70
18511,70
250259,70
257022,70
248237,70
213269,69
508377,69
1463,69
379008,69
30674,69
13913,69
242933,69
242769,69
83,68
283055,68
51649,68
17744,67
157027,67
400861,67
143030,67
113124,67
326389,67
33690,66
267269,66
9530,66
93966,66
12950,66
112100,66
197606,65
541686,65
267,65
215945,65
20862,65
434051,65
552067,65
32484,65
8741,64
565968,64
53114,64
206446,64
60628,64
31610,64
172637,64
16417,63
33708,63
4668,63
415784,63
878126,63
224671,63
224922,63
46011,63
21234,63
1084,62
72583,62
485743,62
15168,62
24545,62
58394,61
238134,61
365251,61
4376,61
859154,61
48082,61
34088,60
19563,60
9382,60
51197,59
741099,59
53013,59
111665,59
1384652,59
11333,59
209512,58
216431,58
69083,58
68571,58
651174,58
62553,58
240337,57
383,57
82474,57
69742,57
187141,57
89771,57
41360,57
41956,57
192910,57
42636,57
895174,57
486578,57
14955,57
114916,56
1114,56
2138,56
19068,56
